delegates,voting_power
0x205051D46995f3849d70D8BE6012d00b6d1fd72f,0
0x72577F213031452A022c2E06FAf721e8295F884C,0
0x2F083372f75DA1a60Fa083cb830ED88e9327bd57,0
0xaD58cb53D69E423F9B77F3BF4b7Dac5405294120,0
0x44cf09515254fB626112cc9C7AD9F97F55ea7C96,0
0xB79294D00848a3A4C00c22D9367F19B4280689D7,10
0x5d90dE5304715d0b2535380d731EfbD8788AdA4d,0.0251362
0x9793Df331f9c8F658377Bc485c46fCA6FbaeE0cC,0.1571
0x9457fd57dABa9d487B190807D006979c12adaB53,0
0x8414ce0dB75d39E12c681Df2647877D0a50c55dD,1.1
0xdf19C7Aa9047Dc806610591F808E3c1C2a8c1Bb2,0
0x3b3E463BB79A1c75e3235692298A49e78116f9a3,0
0xcDea1b8ED1fFaEC423798077163287662AD85Bf1,1
0x30B72d18ff59512019A7F93DE5216d13ad9aa9Cd,0.15584
0x33744a641Af93fCf4a75AD394d6664eA25b8E3e0,0
0x1C1D1762308e1202af1976D16DFAC4a6F27613d4,0
0x43DDb36667797Ea9a3335b957b1ceD462586B0ac,0
0x92d27D0d47B63A2247114509356A0674eA83Ea8d,1.11256
0x77d33B4a95b48cDcED0cE3b4376c81B276C85D15,0
0xF8d454A004df18966fD1B0ef8b07753adC09dab2,0
0xeE9E1E804635d5f02a6A8F95E8AE4659e536E83B,0.308734
0x7F148Cd5553e3D3813c2174C6e3627941f94FD9f,0
0x45bd0f945f4836749c79a00577dAC1e6f3566Fc4,0
0x4e71bfbaDbEA9dB34339388991a1C23729ACFF88,0
0x7acc09Ac514fD7c5B6889F20fae1322534b0Ee50,0.165
0x9A9CC43Db8895584f422E92365BFA62973a181bf,0.2
0xA4b6A3ED57561fC2CaB94AadBa1aBA45f6901323,0.155
0x214Aa91bd94FBB81EfD848E5fA3abCb56cf0d4CD,0.354
0x60c1271d6d2fd0852e3af21F5230ae096D6a6EA1,0.19
0x5b8d5e67c8DE4ae123192d772551C8a6D9A7267d,0.16
0x82B64fC7FC9393CAfE936dc77f6Fe00390c8e677,0.308
0xc0Eee773DF7FC3dAa158b7d3Ee146C1bC4dA6398,0.13
0x04D4E240EeBbEbeAa8F88A1049148934876F98D6,0.337
0x63770e9661d1159494C1D6f53cD9e89E5D53c898,0
0x937F92B5114a6a434C0Be23eA54cf9C74FeCc2A8,0.347805
0x10042d72c3533A32F92cf02E928f84c0f8F2637b,0.331
0xC65f33D45650fdB44ac7Bd6516ca1a137910323C,0
0x91B1eF324061B281cEbe724BD38a0043cf78e5B5,0
0x6dA234BDD80f745352380c3cBd997901D13d7Fb2,0
0xdd1800d8AdB75263ff2Fd86F80741DDCE8b330d5,0
0x82e47012464a9C2fABaDDc44E727A3d92F29BEBA,0.194998
0xF82700267407E68B31dDFC18b6194E0955B39aA4,0
0xd25C4d1ADD1eB17FEf6026022F5fBDa9634503cf,0
0xCdaAA79C6492976f016A3F77E5ca5d3d15102182,0.170182
0x3A3eE2E377c34e68240eAC1E2fbF13d497066476,0.181
0x185ddF5961912D97b90A4923783308243CA1566D,0.331
0xdC65E01Aa934F59B035Ee22186836bAB04D9D06f,0.17183
0xf4a29258edbbFB99e9B978094dD32C6a86A0dc89,0
0x89a39202c1a5f66dd7e40ED0a9c9b45C0221D333,0
0x6eA5f2b51dB2DeF28787205A998A7dd7bBFEE8cD,0
0xf3f6cb8b81412Ed438400c712664361F38F40BB6,0
0x2e1CD3690f4A54D825284B2deb0625a8eB488cE4,0
0x9D21f0B4cf66282F3CD139654CDbceFD556097fc,0
0xFAF71C006ce8940C3cb2fFd9050a365A147f25e0,0.16
0x48FF2cc3A4E801e87573f8f959551882b797EDc6,0.18
0x0b653FAbe6F6af859A5909B9c0022Dab1C56E28a,0.16
0x82da18E3a9A71F435b951872b0ffffFD384556B3,0.119
0xAB49E4E9882CCFf42A94106e49AfF531f4FCC056,0.12
0xc2DcF743D230739c837c6a9Dbdd37383f4961644,0.11
0x2ce65896fd58f48baB150b6e7c0a1E9EB46B755c,0
0x1046cdD1c194861B0285749379E84fD1910AB72a,0.17734
0x64b3cC8042599dBB96f95F3e02481CDD830c4a41,0.17
0x59b8613130435B203c3Ac863c78c008cB3bB3BAc,0.183
0x535aEe113EcE306d9CA4dbEA6fE8165BD343dD04,0.1602
0x742d27F952de020be4af613784e7E7564051eE38,0
0xD08a221981Bf5cd50d91298006df5e82483c5733,0
0xb7E2D8c00D3CB173ea5f9FDCe635950ba0e1bee1,0.178
0xCa4d76F1B854220e485DCB3E6Dd092944bb53cc8,0.17
0x3978080941075BC0bD7A7B4139d8258687fa11db,0
0xC5297dc5c210ba4a667a940fBf80Da426E8Bb0eA,0
0x59D6f18269BF877B684A305c8C777738d8A0Acd8,0
0x95eE85c4318bB5e4a19e87517B855CD44Bcf48c0,0.374467
0x82648189cd42160aEEFDD7352a80156BffB81f22,0.137375
0xCe10403A137BF5AEb96B5eDab22eD2607890820a,0.187945
0x03a45D30b0DF7b203566b6ACa6B60E60B0C623B0,0
0x8cefe30689C18fEFac373822747df03c76726Ddb,0
0x90DD9aab6342D5Fd20A4899C42c542c2C08E4175,1.02097
0x2a2246597C7A799c52f97BeF4Dda98962650c4eB,0.126066
0xAF195f7304316c274f28Ef01bEdDEF82412769B0,0.220413
0xa4661D34EA2B75aAb1322fDf0713D44001DA2215,0
0xbef7E7BDAEc9dC74a56608b3D9D6f6cdF6808A1c,1
0x251F696023F76AFdA3871a0c52304F88F1d1C4C4,0
0x05C5de55DDFeee52A9917847D2b0a59B4b884504,1.15635
0x7C9043947AA4a16c6B3ad218cCee950Fa5BF9A58,5.37419
0x2b8c570d49ED0Ad85E631F804dda52aE22803EfA,0
0xee97978334b8752a396f5B97Bda336884bD6C22C,0.181868
0xDcFd79E29D82F4fD8a5a7fEeC1c3b7A9935F5C4c,0
0x1118314D9de14125fF68e31E6696b7A1f01BfC0f,0
